periodicity,smoothness,metric_pattern_correlation
0.030000000000000002,0,0.02
0.22999999999999998,0.08,0.17
0.13,0.030000000000000002,0.07
0.32999999999999996,0.030000000000000002,0.22
0.22999999999999998,0.030000000000000002,0.12
0.28,0,0.17
0.32999999999999996,0,0.17
0.08,0,0.02
0.030000000000000002,0,0.02
0.32999999999999996,0,0.22
0.43,0,0.32
0.18,0.030000000000000002,0.07
0.28,0.030000000000000002,0.22
0.38,0.030000000000000002,0.27
0.32999999999999996,0.030000000000000002,0.17
0.18,0,0.12
0.43,0.030000000000000002,0.22
0.38,0,0.27
0.18,0,0.07
0.32999999999999996,0.030000000000000002,0.22
0.08,0.030000000000000002,0.02
0.43,0,0.32
0.43,0.030000000000000002,0.37
0.030000000000000002,0.030000000000000002,0.02
0.18,0.030000000000000002,0.07
0.22999999999999998,0.08,0.07
