periodicity,smoothness,metric_pattern_correlation
0.5800000000000001,0,0.52
0,0,0.02
0.38,0,0.32
0.38,0,0.32
0.28,0.030000000000000002,0.22
0.38,0,0.32
0.32999999999999996,0.030000000000000002,0.27
0.32999999999999996,0.030000000000000002,0.32
0.43,0.030000000000000002,0.37
0.22999999999999998,0.030000000000000002,0.17
0.28,0,0.22
0.43,0.030000000000000002,0.42
0.32999999999999996,0.08,0.27
0.43,0.030000000000000002,0.42
0.38,0,0.32
0.48,0.28,0.47
0.32999999999999996,0.08,0.22
0.38,0.030000000000000002,0.27
0.43,0.030000000000000002,0.37
0.38,0.18,0.32
0.28,0,0.22
0.63,0,0.52
0.53,0.030000000000000002,0.47
0.28,0.030000000000000002,0.22
0.73,0.030000000000000002,0.57
0.48,0.28,0.37
0.38,0.28,0.27
0.43,0.030000000000000002,0.27
