periodicity,smoothness,metric_pattern_correlation
0,0,0.02
0.030000000000000002,0.030000000000000002,0.02
0.030000000000000002,0.030000000000000002,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0.030000000000000002,0,0.02
0,0,0.02
0.030000000000000002,0.030000000000000002,0.02
0,0,0.02
0.030000000000000002,0,0.02
0,0,0.02
0,0,0.02
0.030000000000000002,0,0.02
0.030000000000000002,0.030000000000000002,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0.030000000000000002,0,0.02
0.030000000000000002,0.030000000000000002,0.02
0,0,0.02
0.030000000000000002,0,0.02
0,0,0.02
0.030000000000000002,0.030000000000000002,0.02
0,0,0.02
0,0,0.02
0.030000000000000002,0,0.02
0.030000000000000002,0.030000000000000002,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0.030000000000000002,0,0.02
0.030000000000000002,0.030000000000000002,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0,0,0.02
0.030000000000000002,0,0.02
0.030000000000000002,0,0.02
0,0,0.02
0,0,0.02
0.030000000000000002,0.030000000000000002,0.02
0,0,0.02
0.030000000000000002,0.030000000000000002,0.02
